epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,519.218,0.99445,9.66046,0.69315,0.84301,1.36026,0.93639,0.92952,0.97517,0.77732,0.38958,0.20287,0.10587,0.01868,0.85527,7.26082,0.54174,0.50695,1.22452,0.00333042,0.00333042,0.00333042
2,850.147,0.89093,7.26673,0.64037,0.6283,1.25582,0.90511,0.82544,0.89915,0.70965,0.76147,0.4115,0.36746,0.12263,0.95739,5.69675,0.45055,0.76361,1.30972,0.00659778,0.00659778,0.00659778
3,1289.98,0.94132,6.46375,0.58938,0.68179,1.28056,0.92265,0.89293,0.95567,0.76336,0.7945,0.51742,0.52931,0.23695,0.86141,4.8059,0.32126,0.58766,1.23051,0.00979914,0.00979914,0.00979914
4,1641.88,0.95973,6.08335,0.52099,0.70668,1.28969,0.93271,0.92482,0.97417,0.78059,0.77226,0.59273,0.59356,0.32714,0.8635,3.96843,0.24349,0.50924,1.2343,0.009703,0.009703,0.009703
5,1977.98,0.91356,5.55292,0.46738,0.65151,1.25333,0.93335,0.90279,0.96707,0.77366,0.81417,0.569,0.582,0.36908,0.8845,4.16456,0.19735,0.51733,1.25722,0.009604,0.009604,0.009604
6,2320.45,0.88302,5.18916,0.43573,0.61468,1.23362,0.94754,0.92524,0.97512,0.79987,0.7521,0.60976,0.58479,0.359,0.79845,3.78012,0.15927,0.47057,1.17612,0.009505,0.009505,0.009505
7,2661.9,0.86047,4.97762,0.40988,0.59036,1.21666,0.9559,0.94595,0.9809,0.80827,0.82622,0.65766,0.69282,0.45027,0.78475,3.3629,0.15319,0.44503,1.15604,0.009406,0.009406,0.009406
8,3003.12,0.83412,4.73088,0.39675,0.56906,1.20351,0.94886,0.93238,0.97889,0.81916,0.78127,0.64652,0.6535,0.45473,0.75246,3.3814,0.11577,0.43669,1.12926,0.009307,0.009307,0.009307
9,3343.68,0.8235,4.67738,0.38124,0.55891,1.19238,0.96085,0.94595,0.9832,0.83063,0.81941,0.66124,0.67868,0.48129,0.71581,3.07221,0.09783,0.41318,1.10405,0.009208,0.009208,0.009208
10,3683.9,0.81005,4.5159,0.37301,0.54523,1.1853,0.96438,0.96385,0.98699,0.84115,0.82564,0.71427,0.7377,0.53119,0.71474,2.83173,0.10047,0.38703,1.09792,0.009109,0.009109,0.009109
